timestamp,dxy_value,date,datetime,description,dxy_ma_20,dxy_ma_50,dxy_ma_200
1727928000,101.98999786376953,2024-10-02,2024-10-02 23:00:00,U.S. Dollar Index (DXY),101.04650001525879,101.91599990844726,103.67260040283203
1728014400,102.5199966430664,2024-10-03,2024-10-03 23:00:00,U.S. Dollar Index (DXY),101.11349983215332,101.87919982910157,103.67265037536622
1728273600,102.54000091552734,2024-10-06,2024-10-06 23:00:00,U.S. Dollar Index (DXY),101.16299972534179,101.84359985351563,103.67450038909912
1728360000,102.55000305175781,2024-10-07,2024-10-07 23:00:00,U.S. Dollar Index (DXY),101.2090000152588,101.80339996337891,103.67520038604736
1728446400,102.93000030517578,2024-10-08,2024-10-08 23:00:00,U.S. Dollar Index (DXY),101.2715000152588,101.77099990844727,103.6806504058838
1728532800,102.98999786376953,2024-10-09,2024-10-09 23:00:00,U.S. Dollar Index (DXY),101.35249977111816,101.74879989624023,103.68710041046143
1728619200,102.88999938964844,2024-10-10,2024-10-10 23:00:00,U.S. Dollar Index (DXY),101.44149971008301,101.7181999206543,103.69420040130615
1728878400,103.30000305175781,2024-10-13,2024-10-13 23:00:00,U.S. Dollar Index (DXY),101.56849975585938,101.72,103.70575042724609
1728964800,103.26000213623047,2024-10-14,2024-10-14 23:00:00,U.S. Dollar Index (DXY),101.68699989318847,101.73139999389649,103.71590042114258
1729051200,103.58999633789062,2024-10-15,2024-10-15 23:00:00,U.S. Dollar Index (DXY),101.83649978637695,101.74379989624023,103.72720039367675
1729137600,103.83000183105469,2024-10-16,2024-10-16 23:00:00,U.S. Dollar Index (DXY),101.99749984741212,101.75639999389648,103.73535041809082
1729224000,103.48999786376953,2024-10-17,2024-10-17 23:00:00,U.S. Dollar Index (DXY),102.13599967956543,101.76199996948242,103.7405004119873
1729483200,104.01000213623047,2024-10-20,2024-10-20 23:00:00,U.S. Dollar Index (DXY),102.29049987792969,101.77940002441406,103.74845043182373
1729569600,104.08000183105469,2024-10-21,2024-10-21 23:00:00,U.S. Dollar Index (DXY),102.47599983215332,101.79820007324219,103.75680042266846
1729656000,104.43000030517578,2024-10-22,2024-10-22 23:00:00,U.S. Dollar Index (DXY),102.65149993896485,101.83560012817382,103.76790042877197
1729742400,104.05999755859375,2024-10-23,2024-10-23 23:00:00,U.S. Dollar Index (DXY),102.82649993896484,101.86540008544922,103.77535041809082
1729828800,104.26000213623047,2024-10-24,2024-10-24 23:00:00,U.S. Dollar Index (DXY),103.0185001373291,101.89100006103516,103.78485042572021
1730088000,104.31999969482422,2024-10-27,2024-10-27 23:00:00,U.S. Dollar Index (DXY),103.19550018310547,101.92820007324218,103.7950004196167
1730174400,104.27999877929688,2024-10-28,2024-10-28 23:00:00,U.S. Dollar Index (DXY),103.35,101.97600006103515,103.80440040588378
1730260800,103.98999786376953,2024-10-29,2024-10-29 23:00:00,U.S. Dollar Index (DXY),103.46549987792969,102.02699996948242,103.80755039215087
1730347200,103.9800033569336,2024-10-30,2024-10-30 23:00:00,U.S. Dollar Index (DXY),103.56500015258788,102.08580001831055,103.81020042419433
1730433600,104.27999877929688,2024-10-31,2024-10-31 23:00:00,U.S. Dollar Index (DXY),103.65300025939942,102.14119995117187,103.81390041351318
1730696400,103.88999938964844,2024-11-03,2024-11-03 23:00:00,U.S. Dollar Index (DXY),103.72050018310547,102.20459991455078,103.81690040588379
1730782800,103.41999816894531,2024-11-04,2024-11-04 23:00:00,U.S. Dollar Index (DXY),103.76399993896484,102.25599990844727,103.81735038757324
1730869200,105.08999633789062,2024-11-05,2024-11-05 23:00:00,U.S. Dollar Index (DXY),103.87199974060059,102.34679977416992,103.82470035552979
1730955600,104.51000213623047,2024-11-06,2024-11-06 23:00:00,U.S. Dollar Index (DXY),103.94799995422363,102.41519989013672,103.8310503768921
1731042000,105.0,2024-11-07,2024-11-07 23:00:00,U.S. Dollar Index (DXY),104.05349998474121,102.48839996337891,103.83820037841797
1731301200,105.54000091552734,2024-11-10,2024-11-10 23:00:00,U.S. Dollar Index (DXY),104.16549987792969,102.56520004272461,103.84855037689209
1731387600,106.0199966430664,2024-11-11,2024-11-11 23:00:00,U.S. Dollar Index (DXY),104.30349960327149,102.64899993896485,103.86060035705566
1731474000,106.4800033569336,2024-11-12,2024-11-12 23:00:00,U.S. Dollar Index (DXY),104.44799995422363,102.75139999389648,103.87600036621093
1731560400,106.66999816894531,2024-11-13,2024-11-13 23:00:00,U.S. Dollar Index (DXY),104.58999977111816,102.86259994506835,103.89300037384034
1731646800,106.69000244140625,2024-11-14,2024-11-14 23:00:00,U.S. Dollar Index (DXY),104.75,102.97279998779297,103.91120037078858
1731906000,106.27999877929688,2024-11-17,2024-11-17 23:00:00,U.S. Dollar Index (DXY),104.86349983215332,103.06739990234375,103.92300037384034
1731992400,106.20999908447266,2024-11-18,2024-11-18 23:00:00,U.S. Dollar Index (DXY),104.96999969482422,103.15899993896484,103.93180038452148
